c1,dp1a,op12,c2,count
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E22_Man-Made_Object,182
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,182
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,182
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E63_Beginning_of_Existence,128
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E63_Beginning_of_Existence,128
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E63_Beginning_of_Existence,128
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E64_End_of_Existence,127
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E64_End_of_Existence,127
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E64_End_of_Existence,127
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P131_is_identified_by,http://erlangen-crm.org/current/E82_Actor_Appellation,43
http://erlangen-crm.org/current/E33_Linguistic_Object,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P129_is_about,http://erlangen-crm.org/current/E40_Legal_Body,12
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P98i_was_born,http://erlangen-crm.org/current/E67_Birth,9
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P98i_was_born,http://erlangen-crm.org/current/E63_Beginning_of_Existence,6
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P98i_was_born,http://erlangen-crm.org/current/E63_Beginning_of_Existence,6
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P98i_was_born,http://erlangen-crm.org/current/E63_Beginning_of_Existence,6
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E67_Birth,6
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E67_Birth,6
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P92i_was_brought_into_existence_by,http://erlangen-crm.org/current/E67_Birth,6
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P100i_died_in,http://erlangen-crm.org/current/E69_Death,4
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P100i_died_in,http://erlangen-crm.org/current/E64_End_of_Existence,4
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E69_Death,4
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P100i_died_in,http://erlangen-crm.org/current/E64_End_of_Existence,4
http://erlangen-crm.org/current/E40_Legal_Body,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P100i_died_in,http://erlangen-crm.org/current/E64_End_of_Existence,4
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E69_Death,4
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P93i_was_taken_out_of_existence_by,http://erlangen-crm.org/current/E69_Death,4
http://erlangen-crm.org/current/E39_Actor,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P74_has_current_or_former_residence,http://erlangen-crm.org/current/E53_Place,1
http://erlangen-crm.org/current/E21_Person,http://www.w3.org/2000/01/rdf-schema#label,http://erlangen-crm.org/current/P74_has_current_or_former_residence,http://erlangen-crm.org/current/E53_Place,1
http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P3_has_note,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E40_Legal_Body,1
