c1,op21,c2,op23,c3,count
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P43_has_dimension,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,152328
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P91_has_unit,http://erlangen-crm.org/current/E58_Measurement_Unit,119148
http://erlangen-crm.org/current/E58_Measurement_Unit,http://erlangen-crm.org/current/P91_has_unit,http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,119148
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,83440
http://erlangen-crm.org/current/E42_Identifier,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,83440
http://erlangen-crm.org/current/E40_Legal_Body,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,83440
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,83440
http://erlangen-crm.org/current/E35_Title,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,83440
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E35_Title,83440
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E40_Legal_Body,83440
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,82154
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,82154
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E8_Acquisition,81858
http://erlangen-crm.org/current/E8_Acquisition,http://erlangen-crm.org/current/P24i_changed_ownership_through,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,81858
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,65230
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,65230
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P106_is_composed_of,http://erlangen-crm.org/current/E82_Actor_Appellation,42918
http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P106_is_composed_of,http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,42918
http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P106_is_composed_of,http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P106_is_composed_of,http://erlangen-crm.org/current/E82_Actor_Appellation,42636
http://erlangen-crm.org/current/E42_Identifier,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E35_Title,41720
http://erlangen-crm.org/current/E40_Legal_Body,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E35_Title,41720
http://erlangen-crm.org/current/E40_Legal_Body,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,41720
http://erlangen-crm.org/current/E29_Design_or_Procedure,http://erlangen-crm.org/current/P33_used_specific_technique,http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P4_has_time-span,http://erlangen-crm.org/current/E52_Time-Span,41720
http://erlangen-crm.org/current/E35_Title,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,41720
http://erlangen-crm.org/current/E35_Title,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E40_Legal_Body,41720
http://erlangen-crm.org/current/E52_Time-Span,http://erlangen-crm.org/current/P4_has_time-span,http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P33_used_specific_technique,http://erlangen-crm.org/current/E29_Design_or_Procedure,41720
http://erlangen-crm.org/current/E42_Identifier,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E40_Legal_Body,41720
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E40_Legal_Body,41077
http://erlangen-crm.org/current/E35_Title,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,41077
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E42_Identifier,41077
http://erlangen-crm.org/current/E40_Legal_Body,http://erlangen-crm.org/current/P52_has_current_owner,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,41077
http://erlangen-crm.org/current/E53_Place,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P102_has_title,http://erlangen-crm.org/current/E35_Title,41077
http://erlangen-crm.org/current/E42_Identifier,http://erlangen-crm.org/current/P48_has_preferred_identifier,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P55_has_current_location,http://erlangen-crm.org/current/E53_Place,41077
